title,author,author code,year,figures,description,genre,magazine
Kultura je když...,"Kliment, Alexandr",jk01060558,1978,,estetika,úvahy,Spektrum
Hra o život,"Dobrovský, Luboš",jn20000400479,1978,"Kundera, Milan",česká próza,studie,Spektrum
Památce Bohuslava Reynka,"Jirousová, Věra",jn19990218035,1978,"Reynek, Bohuslav",čeští spisovatelé,studie,Spektrum
Joyceův zkušební návrat,"Urbánek, Zdeněk",jk01140872,1978,"Joyce, James",anglicky psané drama,studie,Spektrum
Čas jako trvání a jako prázdnota,"Černý, Václav",jk01021636,1979,,estetika,eseje,Spektrum
Archeologie času,"Vašíček, Zdeněk",jk01141688,1979,,estetika,eseje,Spektrum
Z krajiny progresívní nepohody,"Brabec, Jiří",jk01012890,1979,"Juliš, Emil",čeští spisovatelé,studie,Spektrum
Poznámky k T. G. Masarykovi a národnímu obrození,"Doležal, Bohumil",jk01022603,1979,"Masaryk, Tomáš Garrigue",národní obrození;čeští spisovatelé,studie,Spektrum
Za Vítězslavem Gardavským,"Šimsa, Jan",jn20000402827,1979,"Gardavský, Vítězslav",čeští spisovatelé,nekrology,Spektrum
Kantůrkové Sen o zlu,"Žalich, Jan",,1979,"Kantůrková, Eva",česká próza,recenze,Spektrum
Andrej Stankovič debutoval [...].,,,1979,"Stankovič, Andrej",čeští spisovatelé,bio-bibliografické poznámky,Spektrum
Rozhovor Magora s Brikciusem v hospodě u Lojzy,"Jirous, Ivan Martin",jn19981001568,1979,"Brikcius, Eugen",happening (umění);čeští spisovatelé,biografické poznámky;rozhovory,Spektrum
Ad E. K.,J. G.,,1979,"Kantůrková, Eva",česká próza,poznámky,Spektrum
Esej o generaci,"Kroutvor, Josef",jn99240000542,1979,"Kroutvor, Josef",estetika,eseje,Spektrum
Rady pro kočku,"Jungmann, Milan",jk01052189,1989,"Čejka, Jaroslav;Hájek, Jiří",kulturní politika,polemiky,Lidové noviny [samizdat]
Goodbye samizdat,"Havel, Václav",jk01040240,1989,,samizdatové časopisy;samizdat;literární časopisy;samizdatové časopisy,články,Lidové noviny [samizdat]
Za Janem Skácelem,-hzk,,1989,"Skácel, Jan",osobnosti;čeští básníci,nekrology,Lidové noviny [samizdat]
Exorcista,"Lukeš, Jan",jk01072622,1989,"Švejda, Jiří",česká próza;osobnosti,recenze,Lidové noviny [samizdat]
Poslední slovo,"Vaculík, Ludvík",jk01141068,1989,"Vaculík, Ludvík",osobnosti;Sametová revoluce (1989 : Československo),fejetony,Lidové noviny [samizdat]
"""Je třeba vylézat z děr"" :","Valton, Arvo",jo2002105711,1988,"Valton, Arvo",estonská literatura;estonští spisovatelé;estonská próza;alternativní kultura;osobnosti,rozhovory,Lidové noviny [samizdat]
Seifertova cena Vaculíkovi,red.,,1988,"Vaculík, Ludvík;Čapek, Karel;Neruda, Jan",literární ceny;čeští spisovatelé;fejeton;samizdatová literatura;osobnosti,zprávy,Lidové noviny [samizdat]
